time_of_day,steps,temperature,wind_speed,genre/mood,music
Morning,5745,38.3,20.5,Jazz,Afreen Afreen - Rahat Fateh Ali Khan
Evening,2488,1.8,24.0,Hip-Hop,Shape of You - Ed Sheeran
Afternoon,17823,0.5,15.9,Pop,Zaroori Tha - Rahat Fateh Ali Khan
Evening,15362,31.0,2.7,Jazz,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Night,5849,34.2,29.2,Pop,Tajdar-e-Haram - Atif Aslam
Morning,9548,34.1,6.5,Classical,Shape of You - Ed Sheeran
Morning,15967,10.3,13.6,Rock,Channa Mereya - Arijit Singh
Evening,11735,6.6,29.8,Rock,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Morning,12231,9.4,9.9,Chill,Tajdar-e-Haram - Atif Aslam
Afternoon,14012,30.9,11.3,Classical,Shape of You - Ed Sheeran
Evening,16898,32.5,0.8,Pop,Shape of You - Ed Sheeran
Evening,5820,9.6,0.4,Hip-Hop,Channa Mereya - Arijit Singh
Afternoon,4648,20.1,17.2,Jazz,Shape of You - Ed Sheeran
Evening,4769,34.9,23.5,Jazz,Apna Bana Le - Arijit Singh
Evening,6346,18.3,4.8,Pop,Kesariya - Arijit Singh
Morning,2556,9.4,29.6,Pop,Tajdar-e-Haram - Atif Aslam
Evening,8157,33.5,16.7,Rock,Zaroori Tha - Rahat Fateh Ali Khan
Evening,17567,37.7,2.1,Hip-Hop,Tum Hi Ho - Arijit Singh
Afternoon,13606,36.0,14.2,Hip-Hop,Tajdar-e-Haram - Atif Aslam
Morning,13741,14.3,24.7,Hip-Hop,Afreen Afreen - Rahat Fateh Ali Khan
Evening,17822,21.4,3.1,Chill,Zaroori Tha - Rahat Fateh Ali Khan
Night,19511,24.8,5.7,Classical,Channa Mereya - Arijit Singh
Night,3174,1.9,11.7,Pop,Blinding Lights - The Weeknd
Night,11461,22.0,3.4,Hip-Hop,Tera Ban Jaunga - Akhil Sachdeva
Night,8691,16.6,8.8,Classical,Aadat - Jal Band
Morning,2842,29.8,6.8,Rock,Drivers License - Olivia Rodrigo
Morning,6675,26.5,4.8,Pop,Levitating - Dua Lipa
Morning,8011,23.5,24.7,Chill,Someone Like You - Adele
Afternoon,9353,6.6,4.4,Jazz,Afreen Afreen - Rahat Fateh Ali Khan
Evening,6998,26.5,17.8,Chill,Tera Ban Jaunga - Akhil Sachdeva
Evening,17747,20.4,3.7,Jazz,Someone Like You - Adele
Night,10292,24.7,8.4,Pop,Tajdar-e-Haram - Atif Aslam
Night,17406,17.9,22.7,Chill,Drivers License - Olivia Rodrigo
Evening,7483,2.4,13.7,Pop,Aadat - Jal Band
Night,19209,30.3,5.0,Pop,Drivers License - Olivia Rodrigo
Night,2577,18.7,2.8,Rock,Drivers License - Olivia Rodrigo
Night,18078,32.3,11.4,Hip-Hop,Zaroori Tha - Rahat Fateh Ali Khan
Evening,2008,25.7,0.2,Hip-Hop,Channa Mereya - Arijit Singh
Morning,14190,31.1,0.4,Pop,Apna Bana Le - Arijit Singh
Afternoon,19793,29.2,23.5,Jazz,Tera Ban Jaunga - Akhil Sachdeva
Night,6327,38.9,3.6,Pop,Shape of You - Ed Sheeran
Evening,2203,28.6,4.1,Chill,Tajdar-e-Haram - Atif Aslam
Morning,4313,12.6,20.0,Pop,Shape of You - Ed Sheeran
Evening,2933,22.0,28.0,Pop,Shape of You - Ed Sheeran
Morning,9506,1.3,26.1,Chill,Afreen Afreen - Rahat Fateh Ali Khan
Evening,11254,16.7,8.6,Classical,Channa Mereya - Arijit Singh
Morning,13437,30.8,18.8,Hip-Hop,Aadat - Jal Band
Evening,12903,30.3,27.4,Rock,Levitating - Dua Lipa
Evening,15441,34.8,16.9,Pop,Shape of You - Ed Sheeran
Morning,6327,6.7,8.6,Classical,Kesariya - Arijit Singh
Night,12476,0.9,1.7,Hip-Hop,Shape of You - Ed Sheeran
Night,2265,10.1,28.9,Pop,Kesariya - Arijit Singh
Afternoon,8726,37.9,27.8,Pop,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Night,11429,34.2,7.0,Jazz,Zaroori Tha - Rahat Fateh Ali Khan
Afternoon,8146,7.9,9.0,Chill,Levitating - Dua Lipa
Morning,15612,6.7,8.3,Jazz,Tajdar-e-Haram - Atif Aslam
Afternoon,12956,15.1,21.7,Rock,Levitating - Dua Lipa
Afternoon,9961,3.2,29.5,Hip-Hop,Blinding Lights - The Weeknd
Morning,14094,20.2,15.2,Classical,Zaroori Tha - Rahat Fateh Ali Khan
Afternoon,17974,25.0,7.8,Classical,Shape of You - Ed Sheeran
Night,19254,0.3,21.6,Classical,Shape of You - Ed Sheeran
Night,1729,1.1,16.4,Rock,Aadat - Jal Band
Afternoon,12665,26.4,13.8,Hip-Hop,Shape of You - Ed Sheeran
Night,17281,7.4,19.6,Hip-Hop,Shape of You - Ed Sheeran
Night,19627,2.6,29.7,Jazz,Apna Bana Le - Arijit Singh
Afternoon,9898,16.0,24.3,Chill,Someone Like You - Adele
Evening,7947,11.8,16.5,Classical,Blinding Lights - The Weeknd
Night,13879,5.6,22.7,Hip-Hop,Zaroori Tha - Rahat Fateh Ali Khan
Afternoon,6525,11.8,0.7,Rock,Apna Bana Le - Arijit Singh
Evening,4818,7.6,23.4,Jazz,Zaroori Tha - Rahat Fateh Ali Khan
Afternoon,11078,18.2,14.5,Hip-Hop,Tera Ban Jaunga - Akhil Sachdeva
Evening,11582,24.4,2.5,Rock,Someone Like You - Adele
Evening,16292,35.2,23.4,Hip-Hop,Levitating - Dua Lipa
Evening,10697,2.3,11.1,Pop,Aadat - Jal Band
Afternoon,9398,12.7,28.8,Jazz,Tum Hi Ho - Arijit Singh
Night,19787,1.5,7.2,Pop,Tum Hi Ho - Arijit Singh
Afternoon,10159,23.1,2.8,Hip-Hop,Shape of You - Ed Sheeran
Morning,15232,34.7,25.3,Hip-Hop,Zaroori Tha - Rahat Fateh Ali Khan
Evening,14028,15.9,18.7,Jazz,Apna Bana Le - Arijit Singh
Night,13580,18.6,8.1,Classical,Blinding Lights - The Weeknd
Morning,11444,18.3,29.2,Chill,Afreen Afreen - Rahat Fateh Ali Khan
Evening,9002,6.9,7.4,Pop,Afreen Afreen - Rahat Fateh Ali Khan
Morning,4182,18.1,1.8,Jazz,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Evening,11388,5.2,13.1,Classical,Drivers License - Olivia Rodrigo
Morning,11206,24.4,8.7,Rock,Channa Mereya - Arijit Singh
Evening,19254,1.5,24.4,Jazz,Tum Hi Ho - Arijit Singh
Morning,2528,35.4,13.5,Jazz,Afreen Afreen - Rahat Fateh Ali Khan
Morning,2968,18.0,17.1,Pop,Aadat - Jal Band
Morning,2565,14.4,26.0,Pop,Tera Ban Jaunga - Akhil Sachdeva
Afternoon,15843,25.1,0.4,Classical,Drivers License - Olivia Rodrigo
Night,15234,8.6,8.2,Classical,Kesariya - Arijit Singh
Afternoon,11734,27.9,13.8,Rock,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Evening,2471,14.0,9.4,Pop,Tajdar-e-Haram - Atif Aslam
Afternoon,18053,12.9,27.7,Pop,Someone Like You - Adele
Morning,10882,33.6,13.4,Pop,Channa Mereya - Arijit Singh
Afternoon,12466,27.6,1.7,Pop,Zaroori Tha - Rahat Fateh Ali Khan
Afternoon,18877,27.8,8.9,Pop,Kesariya - Arijit Singh
Night,18645,10.6,10.4,Hip-Hop,Someone Like You - Adele
Night,14685,16.2,6.4,Pop,Someone Like You - Adele
Afternoon,14868,36.4,27.6,Hip-Hop,Levitating - Dua Lipa
Afternoon,7962,29.8,6.5,Hip-Hop,Shape of You - Ed Sheeran
Morning,11096,8.1,26.5,Chill,Tera Ban Jaunga - Akhil Sachdeva
Morning,19029,7.4,11.2,Rock,Aadat - Jal Band
Afternoon,3806,7.5,25.6,Classical,Apna Bana Le - Arijit Singh
Morning,18205,39.7,6.1,Pop,Zaroori Tha - Rahat Fateh Ali Khan
Evening,14174,16.8,4.2,Rock,Someone Like You - Adele
Night,5930,35.1,7.3,Pop,Drivers License - Olivia Rodrigo
Afternoon,4356,0.4,12.3,Jazz,Blinding Lights - The Weeknd
Morning,5555,6.8,1.5,Rock,Tera Ban Jaunga - Akhil Sachdeva
Morning,10533,1.6,14.5,Chill,Tajdar-e-Haram - Atif Aslam
Afternoon,9889,15.0,23.0,Classical,Apna Bana Le - Arijit Singh
Afternoon,5947,32.3,6.4,Chill,Tum Hi Ho - Arijit Singh
Evening,10287,12.2,6.8,Pop,Someone Like You - Adele
Afternoon,11092,31.0,8.4,Rock,Tum Hi Ho - Arijit Singh
Night,19894,38.7,13.4,Jazz,Apna Bana Le - Arijit Singh
Morning,14849,38.4,10.9,Pop,Drivers License - Olivia Rodrigo
Morning,11652,5.6,26.2,Pop,Tera Ban Jaunga - Akhil Sachdeva
Evening,7108,1.9,28.2,Chill,Apna Bana Le - Arijit Singh
Evening,19097,24.9,1.4,Hip-Hop,Drivers License - Olivia Rodrigo
Night,2139,19.5,25.3,Rock,Apna Bana Le - Arijit Singh
Morning,1096,10.5,27.7,Pop,Apna Bana Le - Arijit Singh
Night,18083,0.5,4.1,Chill,Channa Mereya - Arijit Singh
Night,18401,13.0,24.1,Hip-Hop,Tum Hi Ho - Arijit Singh
Morning,12378,38.6,5.4,Hip-Hop,Tera Ban Jaunga - Akhil Sachdeva
Afternoon,12130,16.6,27.4,Classical,Tum Hi Ho - Arijit Singh
Night,5830,14.8,20.5,Hip-Hop,Shape of You - Ed Sheeran
Evening,12793,8.1,15.2,Hip-Hop,Tajdar-e-Haram - Atif Aslam
Night,11382,33.2,7.9,Jazz,Zaroori Tha - Rahat Fateh Ali Khan
Afternoon,8719,31.7,18.3,Rock,Blinding Lights - The Weeknd
Evening,9888,35.9,14.3,Pop,Drivers License - Olivia Rodrigo
Afternoon,10823,22.7,26.0,Jazz,Zaroori Tha - Rahat Fateh Ali Khan
Night,17035,28.0,10.4,Pop,Zaroori Tha - Rahat Fateh Ali Khan
Morning,17014,7.5,4.8,Hip-Hop,Levitating - Dua Lipa
Night,18082,1.7,8.3,Rock,Channa Mereya - Arijit Singh
Morning,4981,13.4,4.2,Hip-Hop,Aadat - Jal Band
Evening,12640,12.2,19.7,Jazz,Tum Hi Ho - Arijit Singh
Afternoon,16233,31.0,7.2,Pop,Someone Like You - Adele
Evening,3967,29.2,8.2,Jazz,Aadat - Jal Band
Afternoon,8606,25.0,12.0,Hip-Hop,Channa Mereya - Arijit Singh
Evening,14819,20.6,21.8,Classical,Channa Mereya - Arijit Singh
Evening,12751,38.4,19.3,Pop,Kesariya - Arijit Singh
Morning,11878,37.5,22.6,Hip-Hop,Kesariya - Arijit Singh
Afternoon,17274,4.3,1.1,Rock,Aadat - Jal Band
Night,6180,23.3,21.3,Hip-Hop,Zaroori Tha - Rahat Fateh Ali Khan
Afternoon,12697,29.1,4.7,Classical,Apna Bana Le - Arijit Singh
Evening,7175,17.4,27.9,Jazz,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Afternoon,10129,6.2,29.0,Classical,Drivers License - Olivia Rodrigo
Morning,17484,11.2,10.6,Rock,Aadat - Jal Band
Afternoon,1670,24.9,27.9,Classical,Blinding Lights - The Weeknd
Evening,4210,9.4,3.0,Classical,Kesariya - Arijit Singh
Evening,9290,10.6,29.6,Pop,Drivers License - Olivia Rodrigo
Afternoon,16175,29.9,0.7,Classical,Kesariya - Arijit Singh
Afternoon,6965,28.8,1.0,Hip-Hop,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Morning,12241,20.3,5.7,Hip-Hop,Channa Mereya - Arijit Singh
Evening,7541,37.8,26.3,Classical,Zaroori Tha - Rahat Fateh Ali Khan
Evening,9885,2.4,23.6,Rock,Tera Ban Jaunga - Akhil Sachdeva
Afternoon,2601,25.7,19.1,Chill,Shape of You - Ed Sheeran
Morning,13795,37.4,23.9,Hip-Hop,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Morning,1751,26.3,29.1,Chill,Tum Hi Ho - Arijit Singh
Night,17341,16.1,8.4,Rock,Afreen Afreen - Rahat Fateh Ali Khan
Morning,19294,33.7,13.2,Jazz,Afreen Afreen - Rahat Fateh Ali Khan
Afternoon,13486,25.7,17.7,Pop,Drivers License - Olivia Rodrigo
Morning,9598,35.4,13.8,Hip-Hop,Tera Ban Jaunga - Akhil Sachdeva
Evening,9641,14.7,27.9,Jazz,Kesariya - Arijit Singh
Afternoon,12926,35.3,21.2,Jazz,Tum Hi Ho - Arijit Singh
Evening,11621,16.8,2.7,Jazz,Shape of You - Ed Sheeran
Night,18999,39.1,15.0,Pop,Drivers License - Olivia Rodrigo
Morning,13193,23.7,25.2,Hip-Hop,Tera Ban Jaunga - Akhil Sachdeva
Afternoon,11830,10.1,25.3,Jazz,Aadat - Jal Band
Evening,12740,19.5,7.7,Rock,Afreen Afreen - Rahat Fateh Ali Khan
Evening,8390,0.7,28.6,Chill,Blinding Lights - The Weeknd
Night,8737,11.9,22.0,Chill,Someone Like You - Adele
Morning,16389,29.3,11.0,Classical,Channa Mereya - Arijit Singh
Afternoon,12219,37.3,0.5,Classical,Apna Bana Le - Arijit Singh
Afternoon,15007,24.0,26.5,Hip-Hop,Aadat - Jal Band
Night,18051,11.3,14.3,Rock,Channa Mereya - Arijit Singh
Morning,18644,36.7,9.5,Classical,Kesariya - Arijit Singh
Evening,18443,26.7,24.5,Chill,Channa Mereya - Arijit Singh
Evening,13900,26.0,7.7,Pop,Blinding Lights - The Weeknd
Evening,3347,8.3,27.2,Classical,Shape of You - Ed Sheeran
Morning,16609,29.5,8.6,Chill,Tum Hi Ho - Arijit Singh
Night,8869,23.6,7.7,Classical,Someone Like You - Adele
Evening,1680,21.1,19.3,Rock,Levitating - Dua Lipa
Morning,15621,0.6,13.8,Rock,Channa Mereya - Arijit Singh
Morning,5109,25.6,10.0,Rock,Someone Like You - Adele
Afternoon,7174,7.3,19.5,Chill,Levitating - Dua Lipa
Night,17462,14.0,16.4,Hip-Hop,Drivers License - Olivia Rodrigo
Afternoon,3018,28.5,15.8,Chill,Shape of You - Ed Sheeran
Night,19725,11.7,10.4,Hip-Hop,Apna Bana Le - Arijit Singh
Night,1714,12.2,10.6,Rock,Kesariya - Arijit Singh
Morning,4584,37.9,15.3,Rock,Tera Ban Jaunga - Akhil Sachdeva
Night,15012,32.8,8.0,Rock,Channa Mereya - Arijit Singh
Night,13993,18.4,20.9,Chill,Zaroori Tha - Rahat Fateh Ali Khan
Afternoon,14883,22.0,19.0,Pop,Kesariya - Arijit Singh
Morning,8289,5.6,4.9,Rock,Kesariya - Arijit Singh
Night,6752,0.0,24.9,Chill,Tum Hi Ho - Arijit Singh
Night,14380,21.8,25.1,Hip-Hop,Zaroori Tha - Rahat Fateh Ali Khan
Night,7991,38.5,28.1,Classical,Kesariya - Arijit Singh
Afternoon,8984,0.4,25.6,Classical,Tum Hi Ho - Arijit Singh
Evening,19945,10.3,17.7,Pop,Zaroori Tha - Rahat Fateh Ali Khan
Evening,1519,20.1,1.4,Jazz,Afreen Afreen - Rahat Fateh Ali Khan
Morning,14272,28.4,12.4,Chill,Tera Ban Jaunga - Akhil Sachdeva
Morning,11020,8.8,19.7,Classical,Levitating - Dua Lipa
Evening,17850,21.8,8.2,Pop,Tajdar-e-Haram - Atif Aslam
Morning,18870,23.9,28.7,Rock,Blinding Lights - The Weeknd
Afternoon,2689,35.8,12.1,Rock,Shape of You - Ed Sheeran
Evening,15575,1.3,7.1,Pop,Shape of You - Ed Sheeran
Morning,14089,17.7,24.1,Rock,Levitating - Dua Lipa
Night,9533,12.8,17.6,Classical,Channa Mereya - Arijit Singh
Night,13047,25.2,22.1,Rock,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Afternoon,7453,9.9,17.9,Jazz,Aadat - Jal Band
Morning,10509,7.9,29.0,Rock,Tum Hi Ho - Arijit Singh
Morning,5016,32.0,26.8,Pop,Kesariya - Arijit Singh
Evening,12511,32.8,22.7,Rock,Shape of You - Ed Sheeran
Morning,14011,39.3,20.7,Jazz,Afreen Afreen - Rahat Fateh Ali Khan
Evening,16878,16.9,24.3,Chill,Aadat - Jal Band
Evening,3220,4.6,2.9,Rock,Aadat - Jal Band
Evening,6719,23.9,19.6,Jazz,Shape of You - Ed Sheeran
Morning,5938,10.7,18.9,Jazz,Someone Like You - Adele
Evening,15414,22.2,1.6,Classical,Channa Mereya - Arijit Singh
Morning,2385,27.2,25.3,Jazz,Levitating - Dua Lipa
Afternoon,8199,15.8,29.6,Rock,Apna Bana Le - Arijit Singh
Morning,7665,17.2,2.3,Chill,Tajdar-e-Haram - Atif Aslam
Evening,5073,1.6,25.4,Jazz,Tera Ban Jaunga - Akhil Sachdeva
Evening,4297,27.0,17.0,Hip-Hop,Shape of You - Ed Sheeran
Evening,10562,22.9,23.4,Pop,Afreen Afreen - Rahat Fateh Ali Khan
Afternoon,14131,25.3,5.5,Hip-Hop,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Afternoon,10391,13.2,21.2,Chill,Someone Like You - Adele
Afternoon,15442,0.1,15.1,Jazz,Tera Ban Jaunga - Akhil Sachdeva
Night,17197,30.8,24.0,Classical,Channa Mereya - Arijit Singh
Night,1779,25.2,21.5,Jazz,Tera Ban Jaunga - Akhil Sachdeva
Afternoon,11292,34.3,0.3,Classical,Blinding Lights - The Weeknd
Afternoon,7302,28.8,5.9,Pop,Kesariya - Arijit Singh
Evening,13102,33.7,9.3,Hip-Hop,Shape of You - Ed Sheeran
Evening,13043,16.3,29.4,Classical,Apna Bana Le - Arijit Singh
Afternoon,9497,14.0,27.3,Rock,Tum Hi Ho - Arijit Singh
Morning,9767,7.3,13.0,Hip-Hop,Kesariya - Arijit Singh
Afternoon,1656,21.8,21.6,Hip-Hop,Drivers License - Olivia Rodrigo
Morning,11441,9.5,23.7,Pop,Zaroori Tha - Rahat Fateh Ali Khan
Night,6604,2.1,0.0,Pop,Tera Ban Jaunga - Akhil Sachdeva
Afternoon,1029,5.6,27.8,Hip-Hop,Shape of You - Ed Sheeran
Afternoon,16868,14.7,5.3,Chill,Shape of You - Ed Sheeran
Afternoon,9400,0.2,4.1,Pop,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Night,9791,26.7,19.1,Rock,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Afternoon,4709,21.4,22.5,Hip-Hop,Tera Ban Jaunga - Akhil Sachdeva
Afternoon,17597,35.7,20.6,Chill,Aadat - Jal Band
Afternoon,4942,22.2,24.5,Jazz,Aadat - Jal Band
Afternoon,5769,13.5,19.4,Chill,Tajdar-e-Haram - Atif Aslam
Morning,7049,20.2,0.6,Classical,Tajdar-e-Haram - Atif Aslam
Afternoon,1616,33.0,5.4,Classical,Tum Hi Ho - Arijit Singh
Afternoon,15999,23.0,7.4,Chill,Tum Hi Ho - Arijit Singh
Morning,10995,38.2,20.2,Hip-Hop,Drivers License - Olivia Rodrigo
Morning,6948,0.4,18.5,Chill,Shape of You - Ed Sheeran
Morning,2789,14.6,4.6,Pop,Afreen Afreen - Rahat Fateh Ali Khan
Night,5211,14.4,15.6,Hip-Hop,Tum Hi Ho - Arijit Singh
Night,5088,5.5,3.8,Classical,Blinding Lights - The Weeknd
Afternoon,9867,25.7,12.4,Classical,Apna Bana Le - Arijit Singh
Afternoon,17398,33.0,1.4,Jazz,Channa Mereya - Arijit Singh
Morning,5860,35.7,20.2,Pop,Levitating - Dua Lipa
Afternoon,5847,4.1,1.3,Hip-Hop,Shape of You - Ed Sheeran
Night,8902,7.1,11.0,Jazz,Tajdar-e-Haram - Atif Aslam
Evening,17004,9.4,24.4,Hip-Hop,Apna Bana Le - Arijit Singh
Morning,7029,13.6,6.3,Chill,Aadat - Jal Band
Afternoon,17235,27.1,2.8,Jazz,Apna Bana Le - Arijit Singh
Morning,12407,2.3,18.3,Rock,Afreen Afreen - Rahat Fateh Ali Khan
Afternoon,10427,14.1,15.8,Pop,Zaroori Tha - Rahat Fateh Ali Khan
Evening,4524,0.3,20.1,Rock,Aadat - Jal Band
Morning,8624,2.0,22.1,Rock,Zaroori Tha - Rahat Fateh Ali Khan
Evening,2187,3.6,13.3,Classical,Levitating - Dua Lipa
Evening,7907,6.4,15.5,Jazz,Levitating - Dua Lipa
Evening,6337,1.7,3.3,Hip-Hop,Tajdar-e-Haram - Atif Aslam
Night,19188,21.0,9.2,Hip-Hop,Blinding Lights - The Weeknd
Night,15511,33.8,1.8,Rock,Kesariya - Arijit Singh
Evening,11519,23.8,12.9,Classical,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Night,1475,36.7,18.8,Classical,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Night,6472,11.7,6.3,Jazz,Tajdar-e-Haram - Atif Aslam
Evening,4278,27.6,28.3,Pop,Tajdar-e-Haram - Atif Aslam
Evening,11423,33.4,29.4,Pop,Someone Like You - Adele
Night,6577,16.0,20.7,Rock,Tum Hi Ho - Arijit Singh
Evening,8795,36.1,14.1,Rock,Drivers License - Olivia Rodrigo
Night,6094,10.4,13.3,Jazz,Levitating - Dua Lipa
Afternoon,4307,1.8,26.0,Pop,Channa Mereya - Arijit Singh
Evening,9663,10.1,5.0,Jazz,Blinding Lights - The Weeknd
Morning,3998,33.0,28.8,Classical,Tum Hi Ho - Arijit Singh
Afternoon,5910,0.8,29.9,Pop,Tum Hi Ho - Arijit Singh
Night,9804,13.4,15.9,Chill,Blinding Lights - The Weeknd
Night,19953,3.5,14.2,Pop,Kesariya - Arijit Singh
Night,14003,37.0,27.2,Rock,Shape of You - Ed Sheeran
Afternoon,11330,26.0,20.9,Chill,Aadat - Jal Band
Morning,5900,24.2,13.7,Pop,Channa Mereya - Arijit Singh
Morning,11488,28.0,17.6,Classical,Someone Like You - Adele
Morning,6555,14.4,26.8,Pop,Channa Mereya - Arijit Singh
Morning,12606,25.6,0.7,Hip-Hop,Apna Bana Le - Arijit Singh
Night,14088,24.6,28.2,Classical,Apna Bana Le - Arijit Singh
Morning,10210,26.4,22.8,Rock,Tum Hi Ho - Arijit Singh
Afternoon,3906,29.2,19.0,Classical,Zaroori Tha - Rahat Fateh Ali Khan
Afternoon,13205,15.5,22.9,Hip-Hop,Aadat - Jal Band
Evening,3627,3.6,9.8,Pop,Someone Like You - Adele
Afternoon,4739,34.1,23.1,Pop,Afreen Afreen - Rahat Fateh Ali Khan
Evening,18336,8.0,29.4,Classical,Someone Like You - Adele
Night,19868,30.9,29.2,Hip-Hop,Levitating - Dua Lipa
Night,8032,0.0,18.4,Hip-Hop,Channa Mereya - Arijit Singh
Morning,8807,2.2,15.9,Chill,Tajdar-e-Haram - Atif Aslam
Morning,13271,29.1,23.5,Hip-Hop,Blinding Lights - The Weeknd
Evening,8340,8.5,8.9,Rock,Kesariya - Arijit Singh
Night,9729,22.3,1.2,Rock,Levitating - Dua Lipa
Afternoon,18260,39.0,16.6,Rock,Tajdar-e-Haram - Atif Aslam
Afternoon,15586,25.8,6.6,Rock,Tajdar-e-Haram - Atif Aslam
Morning,18177,25.7,9.4,Classical,Aadat - Jal Band
Evening,2386,14.6,20.9,Classical,Apna Bana Le - Arijit Singh
Morning,12877,19.0,2.9,Pop,Blinding Lights - The Weeknd
Night,5754,29.9,18.9,Pop,Blinding Lights - The Weeknd
Afternoon,10854,9.9,6.0,Chill,Blinding Lights - The Weeknd
Morning,8450,15.8,0.1,Classical,Afreen Afreen - Rahat Fateh Ali Khan
Afternoon,8515,39.4,1.6,Pop,Drivers License - Olivia Rodrigo
Evening,13056,15.6,3.8,Chill,Shape of You - Ed Sheeran
Morning,16004,22.9,21.9,Pop,Drivers License - Olivia Rodrigo
Evening,19404,9.7,6.3,Hip-Hop,Tajdar-e-Haram - Atif Aslam
Night,13742,7.1,19.6,Jazz,Aadat - Jal Band
Morning,5365,36.9,3.2,Hip-Hop,Tera Ban Jaunga - Akhil Sachdeva
Evening,12422,17.0,22.8,Jazz,Aadat - Jal Band
Afternoon,14590,6.1,21.4,Jazz,Shape of You - Ed Sheeran
Morning,2945,16.3,9.5,Pop,Channa Mereya - Arijit Singh
Morning,12054,15.3,29.7,Jazz,Kesariya - Arijit Singh
Morning,11311,23.2,8.2,Chill,Levitating - Dua Lipa
Morning,18409,22.6,4.2,Hip-Hop,Drivers License - Olivia Rodrigo
Evening,2099,24.9,22.5,Classical,Tera Ban Jaunga - Akhil Sachdeva
Morning,13364,6.0,27.6,Hip-Hop,Drivers License - Olivia Rodrigo
Morning,3757,21.8,5.5,Chill,Someone Like You - Adele
Morning,13657,22.2,23.5,Classical,Shape of You - Ed Sheeran
Afternoon,18607,9.9,23.2,Jazz,Afreen Afreen - Rahat Fateh Ali Khan
Evening,8616,11.9,22.6,Classical,Tajdar-e-Haram - Atif Aslam
Evening,5861,37.7,5.9,Rock,Blinding Lights - The Weeknd
Evening,11541,22.6,10.0,Rock,Kesariya - Arijit Singh
Evening,6540,27.7,19.4,Jazz,Channa Mereya - Arijit Singh
Afternoon,19034,29.4,25.6,Hip-Hop,Zaroori Tha - Rahat Fateh Ali Khan
Night,2176,19.2,10.6,Pop,Zaroori Tha - Rahat Fateh Ali Khan
Morning,9309,34.2,7.6,Hip-Hop,Aadat - Jal Band
Morning,9873,35.0,24.9,Classical,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Morning,15170,30.8,19.6,Classical,Drivers License - Olivia Rodrigo
Morning,17345,36.0,2.9,Pop,Tum Hi Ho - Arijit Singh
